,country,totalcases,newcases,totaldeaths,newdeaths ,totalrecovered, ActiveCases,SeriousCases,Population
0,USA,"5,799,148","+2,421","179,240 ",+40,"3,127,418",,"2,492,490","225,547"
1,Brazil,"3,536,488",,"113,454 ",,"2,670,755",,"752,279","66,476"
2,India,"2,985,367","+11,999","56,030 ",+102,"2,228,248","+7,449","701,089","24,959"
3,Russia,"951,897","+4,921","16,310 ",+121,"767,477","+6,147","168,110","231,693"
4,South Africa,"603,338",,"12,843 ",,"500,102",,"90,393","58,986"
5,Peru,"576,067",,"27,245 ",,"384,908",,"163,914","88,251"
6,Mexico,"549,734","+5,928","59,610 ",+504,"376,409","+4,771","113,715","9,597"
7,Colombia,"522,138",,"16,568 ",,"348,940",,"156,630","47,288"
8,Spain,"407,879",,"28,838 ",,N/A,N/A,N/A,"170,147"
9,Chile,"393,769",,"10,723 ",,"367,897",,"15,149","111,932"
10,Iran,"356,792","+2,028","20,502 ",+126,"307,702","+1,836","28,588","35,789"
11,Argentina,"329,043",,"6,730 ",,"239,806",,"82,507","23,262"
12,UK,"323,313",,"41,405 ",,N/A,N/A,N/A,"223,403"
13,Saudi Arabia,"306,370","+1,184","3,619 ",+39,"278,441","+1,374","24,310","129,015"
14,Bangladesh,"292,625","+2,265","3,907 ",+46,"175,567","+2,952","113,151","8,682"
15,Pakistan,"292,174",+586,"6,231 ",+12,"275,317","+1,738","10,626","10,904"
16,Italy,"257,065",,"35,427 ",,"204,960",,"16,678","130,070"
17,Turkey,"255,723",,"6,080 ",,"235,569",,"14,074","72,860"
18,France,"234,400",,"30,503 ",,"84,829",,"119,068","91,892"
19,Germany,"233,021",,"9,328 ",,"208,950","+3,150","14,743","121,655"
20,Iraq,"197,085",,"6,283 ",,"140,446",,"50,356","34,541"
21,Philippines,"187,249","+4,884","2,966 ",+26,"114,921",+402,"69,362","20,738"
22,Indonesia,"151,498","+2,090","6,594 ",+94,"105,198","+2,207","39,706","7,355"
23,Canada,"124,372",,"9,064 ",,"110,648",,"4,660","133,216"
24,Qatar,"116,481",,193 ,,"113,216",,"3,072","205,542"
25,Bolivia,"107,435","+1,370","4,366 ",+61,"42,141","+1,030","60,928","19,490"
26,Ecuador,"106,481",,"6,248 ",,"87,730",,"12,503","17,053"
27,Kazakhstan,"104,313",+242,"1,415 ",,"89,712","+1,792","13,186","121,828"
28,Ukraine,"102,971","+2,328","2,244 ",+37,"51,735",+657,"48,992","32,057"
29,Israel,"100,716",,809 ,,"77,785",,"22,122","237,029"
30,Egypt,"97,148",,"5,231 ",,"64,318",,"27,599","1,316"
31,Dominican Republic,"89,867",,"1,533 ",,"59,132",,"29,202","31,286"
32,Sweden,"86,068",,"5,810 ",,N/A,N/A,N/A,"101,899"
33,Panama,"84,392",,"1,859 ",,"59,722",,"22,811","66,442"
34,Oman,"83,769",,609 ,,"78,386",,"4,774","60,348"
35,Belgium,"80,894",+716,"9,985 ",+9,"18,165",+34,"52,744","181,063"
36,Kuwait,"79,269",,511 ,,"71,264",,"7,494","135,799"
37,Romania,"77,544","+1,189","3,233 ",+37,"35,079",+556,"39,232","85,300"
38,Belarus,"70,285",+174,637 ,+5,"68,577",+321,"1,071","155,104"
39,Guatemala,"66,941",,"2,532 ",,"55,314",,"9,095","12,070"
40,UAE,"66,617",+424,372 ,+2,"58,408",+112,"7,837","647,845"
41,Netherlands,"66,097",+508,"6,200 ",+5,N/A,N/A,N/A,"76,591"
42,Poland,"61,181",+900,"1,951 ",+13,"41,661",+632,"17,569","65,893"
43,Japan,"59,721",,"1,155 ",,"46,467",,"12,099","10,146"
44,Singapore,"56,266",+50,27 ,,"53,651",,"2,588","298,102"
45,Portugal,"55,211",,"1,792 ",,"40,473",,"12,946","186,088"
46,Honduras,"53,381",+562,"1,632 ",+13,"8,271",+189,"43,478","13,184"
47,Nigeria,"51,304",,996 ,,"37,885",,"12,423","1,789"
48,Morocco,"49,247",,817 ,,"34,199",,"14,231","45,186"
49,Bahrain,"48,661",,181 ,,"45,166",,"3,314","597,273"
50,Ghana,"43,325",,261 ,,"41,408",,"1,656","13,876"
51,Kyrgyzstan,"42,889",+186,"1,055 ",,"36,056",+225,"5,778","40,942"
52,Armenia,"42,616",+139,850 ,+8,"35,907",+214,"5,859","65,348"
53,Algeria,"40,667",,"1,418 ",,"28,587",,"10,662",
54,Switzerland,"39,332",,"2,000 ",,"33,900",,"3,432","106,249"
55,Uzbekistan,"38,412",+338,265 ,+5,"33,989",,"4,158","41,088"
56,Venezuela,"38,219",,317 ,,"27,306",,"10,596","59,057"
57,Afghanistan,"37,953",+59,"1,385 ",,"28,016",,"8,552","2,579"
58,Ethiopia,"37,665",,637 ,,"13,913",,"23,115","6,217"
59,Azerbaijan,"34,921",,512 ,,"32,682",,"1,727","84,889"
60,Moldova,"32,484",,929 ,,"22,683",,"8,872","45,609"
61,Costa Rica,"32,134",,340 ,,"10,159",,"21,635","25,155"
62,Kenya,"31,763",,532 ,,"18,157",,"13,074","7,641"
63,Nepal,"31,117",+634,146 ,+9,"18,350",+136,"12,621","30,550"
64,Serbia,"30,378",,692 ,,"28,275",,"1,411","97,805"
65,Ireland,"27,755",,"1,776 ",,"23,364",,"2,615","153,798"
66,Austria,"25,062",+300,732 ,+2,"21,406",+146,"2,924","120,612"
67,Australia,"24,602",+195,485 ,+13,"18,759",+299,"5,358","221,078"
68,El Salvador,"24,420",+220,654 ,+8,"12,021",+240,"11,745","45,174"
69,Czechia,"21,551",,411 ,,"16,040",,"5,100","77,118"
70,Cameroon,"18,762",,408 ,,"16,540",,"1,814","5,594"
71,Palestine,"18,476",+163,122 ,,"11,102",,"7,252","41,988"
72,Bosnia and Herzegovina,"17,396",,526 ,,"11,157",,"5,713","52,731"
73,Ivory Coast,"17,310",,112 ,,"14,820",,"2,378","4,461"
74,S. Korea,"17,002",+332,309 ,,"14,169",+49,"2,524","34,633"
75,Denmark,"16,239",+112,622 ,+1,"13,944",,"1,673","370,334"
76,Bulgaria,"15,131",,539 ,,"10,282",,"4,310","52,602"
77,Madagascar,"14,218",,178 ,,"13,206",,834,"1,959"
78,North Macedonia,"13,308",,557 ,,"9,977",,"2,774","64,472"
79,Senegal,"12,850",+161,266 ,+4,"8,165",,"4,419","8,081"
80,Sudan,"12,623",,812 ,,"6,476",,"5,335",9
81,Paraguay,"12,536",,182 ,,"7,007",,"5,347","23,690"
82,Lebanon,"11,580",,116 ,,"3,204",,"8,260","66,165"
83,Zambia,"10,627",,277 ,,"9,126",,"1,224","5,584"
84,Norway,"10,275",,264 ,,"9,150",,861,"110,843"
85,Libya,"10,121",,180 ,,"1,053",,"8,888","13,261"
86,DRC,"9,811",+9,251 ,+3,"8,920",,640,
87,Malaysia,"9,257",+8,125 ,,"8,949",+4,183,"35,789"
88,Guinea,"8,932",,53 ,,"7,648",,"1,231","1,459"
89,French Guiana,"8,777",,55 ,,"8,251",,471,"162,918"
90,Gabon,"8,388",,53  ,,"6,734",,"1,601","48,104"
91,Tajikistan,"8,241",,66 ,,"7,040",,"1,135",
92,Greece,"8,138",,238 ,,"3,804",,"4,096","79,381"
93,Albania,"8,119",,240 ,,"4,096",,"3,783","17,390"
94,Haiti,"8,016",,196 ,,"5,447",,"2,373","1,911"
95,Finland,"7,906",+35,334 ,,"7,100",,472,"99,037"
96,Croatia,"7,900",+306,170 ,+1,"5,678",+94,"2,052","36,265"
97,Luxembourg,"7,704",,124 ,,"6,969",,611,"1,136,130"
98,Mauritania,"6,885",,158 ,,"6,186",,541,"14,761"
99,Maldives,"6,564",,26 ,,"4,012",,"2,526","187,749"
100,Zimbabwe,"5,815",,152 ,,"4,587",,"1,076","10,055"
101,Djibouti,"5,382",,60 ,,"5,233",,89,"64,856"
102,Malawi,"5,322",,166 ,,"2,929",,"2,227","2,161"
103,Namibia,"5,227",,42 ,,"2,457",,"2,728","18,500"
104,Hungary,"5,133",+35,611 ,,"3,692",+11,830,"40,895"
105,Equatorial Guinea,"4,926",,83 ,,"2,713",,"2,130","34,932"
106,CAR,"4,679",,61 ,,"1,755",,"2,863","6,357"
107,Hong Kong,"4,658",+26,76 ,+1,"3,974",+74,608,"103,979"
108,Nicaragua,"4,311",,133 ,,"2,913",,"1,265",
109,Montenegro,"4,277",,82 ,,"3,281",,914,"71,208"
110,Eswatini,"4,128",,81 ,,"2,682",,"1,365","24,427"
111,Congo,"3,850",,77 ,,"1,625",,"2,148",
112,Cuba,"3,582",,89 ,,"2,951",,542,"30,589"
113,Suriname,"3,460",,56 ,,"2,498",,906,"10,499"
114,Cabo Verde,"3,412",,37 ,,"2,498",,877,"132,716"
115,Thailand,"3,390",,58 ,,"3,220",+1,112,"10,730"
116,Slovakia,"3,316",+91,33 ,,"2,147",+102,"1,136","56,978"
117,Somalia,"3,265",,93 ,,"2,396",,776,
118,Mayotte,"3,237",,39 ,,"2,964",,234,"47,499"
119,Mozambique,"3,195",,20 ,,"1,406",,"1,769","2,674"
120,Sri Lanka,"2,941",,11 ,,"2,798",+9,132,"9,102"
121,Rwanda,"2,780",,11 ,,"1,712",,"1,057","27,479"
122,Mali,"2,688",,125 ,,"2,007",,556,"1,658"
123,Slovenia,"2,617",+43,131 ,+1,"2,079",,407,"70,752"
124,Tunisia,"2,607",,64 ,,"1,420",,"1,123","10,070"
125,Lithuania,"2,594",+30,84 ,+1,"1,766",+11,744,"222,592"
126,South Sudan,"2,497",,47 ,,"1,290",,"1,160","1,074"
127,Gambia,"2,437",,84 ,,455,,"1,898","4,445"
128,Estonia,"2,265",+21,63 ,,"2,024",+13,178,"105,683"
129,Guinea-Bissau,"2,149",,33 ,,"1,015",,"1,101",760
130,Benin,"2,095",,39 ,,"1,705",,351,"8,800"
131,Syria,"2,073",,83 ,,475,,"1,515",
132,Angola,"2,068",,94 ,,804,,"1,170","1,962"
133,Iceland,"2,058",+8,10 ,,"1,936",+16,112,"570,808"
134,Sierra Leone,"1,972",,69 ,,"1,542",,361,
135,Yemen,"1,906",,542 ,,"1,058",,306,4
136,Uganda,"1,848",,19 ,,"1,199",,630,"7,421"
137,Bahamas,"1,703",,27 ,,221,,"1,455","22,292"
138,New Zealand,"1,671",+6,22 ,,"1,538",,111,"137,038"
139,Malta,"1,577",+31,10 ,,901,+47,666,"387,364"
140,Jordan,"1,532",,11 ,,"1,262",,259,"71,285"
141,Uruguay,"1,516",,42 ,,"1,249",,225,"45,066"
142,Aruba,"1,464",,6 ,,415,,"1,043","168,912"
143,Cyprus,"1,406",,20 ,,878,,508,"218,388"
144,Georgia,"1,394",+9,17 ,,"1,132",+4,245,"82,104"
145,Jamaica,"1,346",+56,16 ,+1,788,,542,"17,470"
146,Latvia,"1,333",+3,33 ,,"1,093",,207,"125,484"
147,Botswana,"1,308",,3 ,,136,,"1,169","39,618"
148,Burkina Faso,"1,297",,55 ,,"1,034",,208,
149,Liberia,"1,285",,82 ,,803,,400,
150,Togo,"1,239",,27 ,,891,,321,"6,795"
151,Niger,"1,172",,69 ,,"1,083",,20,372
152,Réunion,"1,075",,5 ,,692,,378,"39,521"
153,Andorra,"1,045",,53 ,,875,,117,"1,778,619"
154,Lesotho,"1,015",,30 ,,472,,513,"6,216"
155,Vietnam,"1,014",+5,25 ,,545,,444,"8,385"
156,Chad,981,,76 ,,869,,36,
157,Sao Tome and Principe,891,,15 ,,830,,46,"15,671"
158,Guyana,881,,30 ,,433,,418,"8,261"
159,Trinidad and Tobago,864,,12 ,,162,,690,"13,307"
160,Guadeloupe,771,,15 ,,289,,467,"65,703"
161,Diamond Princess,712,,13 ,,651,,48,
162,San Marino,704,,42 ,,657,,5,"191,833"
163,Belize,648,,5 ,,43,,600,"15,373"
164,Channel Islands,614,,48 ,,545,,21,"396,267"
165,Tanzania,509,,21 ,,183,,305,
166,Taiwan,487,,7 ,,457,,23,"3,601"
167,Myanmar,435,+16,6 ,,337,,92,"2,617"
168,Burundi,426,,1 ,,336,,89,"1,675"
169,Comoros,417,,7 ,,396,,14,
170,Faeroe Islands,384,, ,,300,,84,"1,677,085"
171,Papua New Guinea,361,,4 ,,198,,159,"1,610"
172,Sint Maarten,353,,17 ,,146,,190,"46,828"
173,Turks and Caicos,347,+13,2 ,,102,,243,"51,329"
174,Mauritius,346,,10 ,,334,,2,"161,379"
175,Isle of Man,336,,24 ,,312,,0,"111,438"
176,Martinique,336,,16 ,,98,,222,"32,586"
177,Eritrea,306,, ,,274,,32,
178,French Polynesia,298,, ,,148,,150,"35,257"
179,Mongolia,298,, ,,288,+5,10,"14,484"
180,Cambodia,273,, ,,263,+10,10,"5,170"
181,Gibraltar,239,+8, ,,201,+1,38,"898,427"
182,Cayman Islands,205,,1 ,,202,,2,"519,649"
183,Saint Martin,176,,5 ,,52,,119,"63,190"
184,Bermuda,167,,9 ,,147,,11,"594,403"
185,Barbados,157,,7 ,,124,,26,"53,342"
